,Distance,fare_amount,passenger_count
0,5.39388166885867,15.0,1.0
1,0.014133547317611012,52.0,6.0
2,5.523718932133106,15.5,1.0
3,1.3920559471810163,6.5,1.0
4,4.150647218131661,11.0,1.0
5,1.087571576959257,5.0,2.0
6,1.0670228416682768,13.0,2.0
7,2.8707463872384045,13.0,1.0
8,1.9612707677705168,8.1,1.0
9,1.6300130720728172,2.9,1.0
10,0.7147069828453249,10.5,1.0
11,6.954083530455486,5.7,1.0
12,0.7003855706441977,4.1,5.0
13,3.0520234123013674,19.3,1.0
14,1.0188469153886566,3.7,1.0
15,0.08477172082604141,5.5,1.0
16,1.6303692909657796,7.7,5.0
17,0.2883652317011299,5.5,1.0
18,0.6337190241618603,8.5,2.0
19,4.36364937407365,25.3,3.0
20,0.00011119492636381853,2.5,1.0
21,2.1396425928547544,6.5,2.0
22,12.393449617638975,25.7,1.0
23,15.031777290313206,53.0,5.0
24,21.15553524411235,45.0,1.0
25,19.559012153312686,49.8,1.0
26,17.670454330077728,48.9,1.0
27,3.2035333962192016,8.5,1.0
28,17.444962562991165,39.7,1.0
29,20.64347260367185,45.0,1.0
30,9.045387338590679,29.0,1.0
31,16.884692046212148,45.0,2.0
32,8.910709853595836,18.9,1.0
33,20.12912932392622,45.0,1.0
34,20.38451741129304,52.0,1.0
35,21.470336976511298,49.8,1.0
36,23.04910237870796,57.33,3.0
37,17.168355059558532,51.5,1.0
38,13.61785871670009,29.7,1.0
39,20.145491552354677,45.0,1.0
40,21.764714034026383,57.33,3.0
41,20.347819935810982,49.8,1.0
42,20.062662917110817,57.33,1.0
43,23.20858037913247,49.15,1.0
44,15.354630869373324,42.0,1.0
45,14.179027044675411,30.1,1.0
46,20.32967501300301,49.8,1.0
47,20.745294357575094,49.57,4.0
48,21.46522101110671,12.0,1.0
49,21.980709164849188,57.33,3.0
50,22.22686523998897,57.33,1.0
51,2.4826096429977342,45.0,2.0
52,22.145230949216796,57.33,1.0
53,5.313121912053775,15.3,1.0
54,19.81665241115924,56.8,2.0
55,20.92104405663262,49.8,1.0
56,15.690448596063137,43.7,1.0
57,9.579832552587952,22.5,2.0
58,13.381900207841644,35.5,3.0
59,15.104844177883189,32.0,1.0
60,21.694679965877228,49.15,1.0
61,15.770749119899742,37.7,4.0
62,19.54457190438215,87.3,1.0
63,20.40299126270698,49.57,1.0
